dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000011,3.423400,0.003333,0.333333,16.666667,833.333333,6.283154
0.020000,0.012426,3.423413,0.015748,0.620750,14.370827,-114.791967,0.002028
0.020000,0.037695,3.423515,0.041018,1.263459,32.135458,888.231547,0.006021
0.020000,0.072534,3.423816,0.075858,1.742017,23.927892,-410.378316,0.011239
0.020000,0.110662,3.424348,0.113990,1.906619,8.230129,-784.888170,0.016575
0.020000,0.148917,3.425078,0.152252,1.913064,0.322217,-395.395584,0.021543
0.020000,0.187295,3.425995,0.190641,1.919450,0.319322,-0.144737,0.026146
0.020000,0.225795,3.427085,0.229156,1.925780,0.316475,-0.142333,0.030387
0.020000,0.264416,3.428335,0.267797,1.932054,0.313721,-0.137738,0.034269
0.020000,0.303156,3.429732,0.306563,1.938274,0.310988,-0.136633,0.037796
0.020000,0.342015,3.431265,0.345452,1.944449,0.308761,-0.111350,0.040971
0.020000,0.380991,3.432919,0.384463,1.950580,0.306557,-0.110225,0.043795
0.020000,0.420085,3.434682,0.423597,1.956672,0.304562,-0.099738,0.046271
0.020000,0.459296,3.436540,0.462851,1.962726,0.302738,-0.091169,0.048400
0.020000,0.498623,3.438482,0.502226,1.968751,0.301233,-0.075292,0.050186
0.020000,0.538067,3.440492,0.541721,1.974750,0.299958,-0.063732,0.051629
0.020000,0.577627,3.442560,0.581336,1.980728,0.298889,-0.053446,0.052730
0.020000,0.617305,3.444670,0.621070,1.986689,0.298066,-0.041143,0.053491
0.020000,0.657100,3.446810,0.660922,1.992639,0.297486,-0.028991,0.053911
0.020000,0.697014,3.448967,0.700894,1.998583,0.297189,-0.014881,0.053992
0.020000,0.737046,3.451126,0.740985,2.004525,0.297128,-0.003042,0.053734
0.020000,0.777198,3.453275,0.781194,2.010471,0.297312,0.009203,0.053136
0.020000,0.817470,3.455399,0.821522,2.016426,0.297748,0.021801,0.052197
0.020000,0.857864,3.457485,0.861970,2.022396,0.298464,0.035803,0.050917
0.020000,0.898381,3.459518,0.902538,2.028384,0.299416,0.047602,0.049295
0.020000,0.939022,3.461484,0.943226,2.034395,0.300571,0.057734,0.047330
0.020000,0.979787,3.463369,0.984035,2.040435,0.301984,0.070668,0.045019
0.020000,1.020678,3.465158,1.024965,2.046508,0.303628,0.082194,0.042362
0.020000,1.061696,3.466836,1.066017,2.052620,0.305605,0.098874,0.039355
0.020000,1.102842,3.468388,1.107193,2.058772,0.307631,0.101293,0.035996
0.020000,1.144117,3.469799,1.148492,2.064970,0.309887,0.112776,0.032284
0.020000,1.185523,3.471053,1.189916,2.071217,0.312357,0.123493,0.028214
0.020000,1.227059,3.472134,1.231467,2.077520,0.315158,0.140066,0.023784
0.020000,1.268727,3.473026,1.273144,2.083878,0.317895,0.136830,0.018991
0.020000,1.310527,3.473714,1.314950,2.090294,0.320772,0.143868,0.013831
0.020000,1.352460,3.474179,1.356886,2.096771,0.323885,0.155666,0.008301
0.020000,1.394526,3.474405,1.398952,2.103316,0.327221,0.166765,0.002397
0.020000,1.436724,3.474375,1.441150,2.109920,0.330206,0.149253,6.279301
0.020000,1.479055,3.474071,1.483482,2.116590,0.333499,0.164688,6.272639
0.020000,1.521517,3.473475,1.525949,2.123330,0.336999,0.174989,6.265591
0.020000,1.564110,3.472568,1.568551,2.130128,0.339898,0.144961,6.258155
0.020000,1.606832,3.471333,1.611291,2.136992,0.343195,0.164823,6.250327
0.020000,1.649681,3.469749,1.654170,2.143917,0.346238,0.152158,6.242102
0.020000,1.692655,3.467798,1.697187,2.150893,0.348816,0.128904,6.233479
0.020000,1.735750,3.465461,1.740346,2.157929,0.351826,0.150513,6.224455
0.020000,1.778963,3.462717,1.783646,2.165003,0.353683,0.092816,6.215025
0.020000,1.822290,3.459546,1.827088,2.172122,0.355921,0.111905,6.205189
0.020000,1.865725,3.455929,1.870674,2.179266,0.357229,0.065420,6.194945
0.020000,1.909262,3.451845,1.914402,2.186433,0.358364,0.056737,6.184291
0.020000,1.952896,3.447273,1.958275,2.193608,0.358719,0.017746,6.173227
0.020000,1.996617,3.442194,2.002290,2.200779,0.358559,-0.007997,6.161753
0.020000,2.040418,3.436585,2.046449,2.207930,0.357558,-0.050063,6.149871
0.020000,2.084289,3.430429,2.090750,2.215047,0.355854,-0.085187,6.137582
0.020000,2.128219,3.423703,2.135192,2.222110,0.353128,-0.136278,6.124889
0.020000,2.172197,3.416388,2.179774,2.229101,0.349570,-0.177897,6.111796
0.020000,2.216210,3.408466,2.224494,2.235997,0.344817,-0.237666,6.098310
0.020000,2.260243,3.399916,2.269350,2.242778,0.339046,-0.288569,6.084436
0.020000,2.304282,3.390720,2.314338,2.249419,0.332045,-0.350035,6.070182
0.020000,2.348309,3.380861,2.359456,2.255893,0.323699,-0.417293,6.055558
